,x
986,-7.10E-05
987,-0.0004
988,0.00079
989,0.000433
990,0.00121
991,-0.00115
992,-0.00158
993,0.001337
994,-0.00198
995,0.001476
996,-0.00219
997,0.001175
998,-0.00112
999,0.001494
1000,-0.00127
